fvg_id,bias,top,bottom,bar_time,t_creation,t_mitigation,t_invalidation,state,is_inverse,is_double
1,1,92112.3,91555.7,2026-01-04 20:00:00+00:00,2026-01-05 04:00:00+00:00,2026-01-06 16:00:00+00:00,,mitigated,False,False
2,1,93195.0,93132.0,2026-01-05 08:00:00+00:00,2026-01-05 16:00:00+00:00,2026-01-06 04:00:00+00:00,,mitigated,False,False
3,1,91353.0,91000.0,2026-01-11 20:00:00+00:00,2026-01-12 04:00:00+00:00,2026-01-12 08:00:00+00:00,,mitigated,False,False
4,1,93017.3,92648.0,2026-01-13 08:00:00+00:00,2026-01-13 16:00:00+00:00,2026-01-19 00:00:00+00:00,,mitigated,False,False
5,1,95100.1,94207.2,2026-01-13 16:00:00+00:00,2026-01-14 00:00:00+00:00,2026-01-18 20:00:00+00:00,,mitigated,False,False
6,1,96176.2,95306.0,2026-01-14 08:00:00+00:00,2026-01-14 16:00:00+00:00,2026-01-15 16:00:00+00:00,,mitigated,False,False
7,-1,95020.0,93625.2,2026-01-18 16:00:00+00:00,2026-01-19 00:00:00+00:00,,,active,False,False
8,-1,93555.0,92805.6,2026-01-18 20:00:00+00:00,2026-01-19 04:00:00+00:00,,,active,False,False
9,-1,92207.1,91394.5,2026-01-20 00:00:00+00:00,2026-01-20 08:00:00+00:00,,,active,False,False
10,-1,88333.0,86975.4,2026-01-25 12:00:00+00:00,2026-01-25 20:00:00+00:00,2026-01-26 08:00:00+00:00,,mitigated,False,False
11,-1,88830.3,88379.4,2026-01-28 20:00:00+00:00,2026-01-29 04:00:00+00:00,,,active,False,False
12,-1,87700.0,85592.2,2026-01-29 08:00:00+00:00,2026-01-29 16:00:00+00:00,,,active,False,False
13,-1,83781.4,83288.0,2026-01-29 20:00:00+00:00,2026-01-30 04:00:00+00:00,2026-01-30 16:00:00+00:00,,mitigated,False,False
14,-1,82536.7,82185.0,2026-01-31 08:00:00+00:00,2026-01-31 16:00:00+00:00,,,active,False,False
15,-1,80770.9,79194.2,2026-01-31 12:00:00+00:00,2026-01-31 20:00:00+00:00,,,active,False,False
16,1,77511.1,76931.7,2026-02-02 04:00:00+00:00,2026-02-02 12:00:00+00:00,2026-02-03 16:00:00+00:00,,mitigated,False,False
17,1,78224.6,77930.7,2026-02-02 08:00:00+00:00,2026-02-02 16:00:00+00:00,2026-02-02 20:00:00+00:00,,mitigated,False,False
18,-1,77014.2,76917.3,2026-02-03 12:00:00+00:00,2026-02-03 20:00:00+00:00,2026-04-17 12:00:00+00:00,,mitigated,False,False
19,-1,75620.8,74217.0,2026-02-04 08:00:00+00:00,2026-02-04 16:00:00+00:00,2026-03-17 00:00:00+00:00,,mitigated,False,False
20,-1,71818.8,71591.8,2026-02-04 20:00:00+00:00,2026-02-05 04:00:00+00:00,2026-02-05 08:00:00+00:00,,mitigated,False,False
21,-1,69876.0,68656.8,2026-02-05 08:00:00+00:00,2026-02-05 16:00:00+00:00,2026-02-06 16:00:00+00:00,,mitigated,False,False
22,-1,66666.0,65676.7,2026-02-05 12:00:00+00:00,2026-02-05 20:00:00+00:00,2026-02-06 04:00:00+00:00,,mitigated,False,False
23,1,68368.5,66724.6,2026-02-06 08:00:00+00:00,2026-02-06 16:00:00+00:00,2026-02-11 04:00:00+00:00,,mitigated,False,False
24,1,69800.0,69162.0,2026-02-06 12:00:00+00:00,2026-02-06 20:00:00+00:00,2026-02-07 04:00:00+00:00,,mitigated,False,False
25,-1,69680.3,68778.0,2026-02-07 00:00:00+00:00,2026-02-07 08:00:00+00:00,2026-02-07 12:00:00+00:00,,mitigated,False,False
26,1,70662.0,69687.9,2026-02-08 04:00:00+00:00,2026-02-08 12:00:00+00:00,2026-02-09 08:00:00+00:00,,mitigated,False,False
27,-1,70255.5,69842.8,2026-02-09 04:00:00+00:00,2026-02-09 12:00:00+00:00,2026-02-09 16:00:00+00:00,,mitigated,False,False
28,-1,67963.0,67097.1,2026-02-11 00:00:00+00:00,2026-02-11 08:00:00+00:00,2026-02-11 12:00:00+00:00,,mitigated,False,False
29,-1,66970.0,66463.0,2026-02-12 12:00:00+00:00,2026-02-12 20:00:00+00:00,2026-02-13 08:00:00+00:00,,mitigated,False,False
30,1,66804.1,66651.5,2026-02-13 04:00:00+00:00,2026-02-13 12:00:00+00:00,2026-02-17 12:00:00+00:00,,mitigated,False,False
31,1,68502.8,67216.2,2026-02-13 08:00:00+00:00,2026-02-13 16:00:00+00:00,2026-02-17 12:00:00+00:00,,mitigated,False,False
32,-1,70098.7,69066.3,2026-02-15 08:00:00+00:00,2026-02-15 16:00:00+00:00,2026-03-04 08:00:00+00:00,,mitigated,False,False
33,-1,68300.2,68219.8,2026-02-16 08:00:00+00:00,2026-02-16 16:00:00+00:00,2026-02-16 20:00:00+00:00,,mitigated,False,False
34,-1,66681.4,66518.9,2026-02-18 12:00:00+00:00,2026-02-18 20:00:00+00:00,2026-02-19 00:00:00+00:00,,mitigated,False,False
35,-1,67317.4,65985.0,2026-02-22 20:00:00+00:00,2026-02-23 04:00:00+00:00,2026-02-25 12:00:00+00:00,,mitigated,False,False
36,-1,65447.9,64999.6,2026-02-23 12:00:00+00:00,2026-02-23 20:00:00+00:00,2026-02-25 00:00:00+00:00,,mitigated,False,False
37,-1,63850.0,63600.0,2026-02-23 20:00:00+00:00,2026-02-24 04:00:00+00:00,2026-02-24 12:00:00+00:00,,mitigated,False,False
38,1,64707.0,64550.1,2026-02-24 20:00:00+00:00,2026-02-25 04:00:00+00:00,2026-02-28 04:00:00+00:00,,mitigated,False,False
39,1,67364.0,65670.1,2026-02-25 08:00:00+00:00,2026-02-25 16:00:00+00:00,2026-02-27 12:00:00+00:00,,mitigated,False,False
40,1,67578.4,67554.8,2026-02-25 12:00:00+00:00,2026-02-25 20:00:00+00:00,2026-02-26 12:00:00+00:00,,mitigated,False,False
41,-1,67415.9,66328.2,2026-02-27 04:00:00+00:00,2026-02-27 12:00:00+00:00,2026-02-28 20:00:00+00:00,,mitigated,False,False
42,-1,65680.4,64275.0,2026-02-28 00:00:00+00:00,2026-02-28 08:00:00+00:00,2026-02-28 16:00:00+00:00,,mitigated,False,False
43,1,64636.7,64275.0,2026-02-28 08:00:00+00:00,2026-02-28 16:00:00+00:00,,,active,False,False
44,1,66138.7,65328.3,2026-02-28 12:00:00+00:00,2026-02-28 20:00:00+00:00,2026-03-01 20:00:00+00:00,,mitigated,False,False
45,1,68529.5,66699.0,2026-03-02 08:00:00+00:00,2026-03-02 16:00:00+00:00,2026-03-03 08:00:00+00:00,,mitigated,False,False
46,1,69100.0,68877.0,2026-03-04 00:00:00+00:00,2026-03-04 08:00:00+00:00,2026-03-06 12:00:00+00:00,,mitigated,False,False
47,1,70564.1,69600.0,2026-03-04 04:00:00+00:00,2026-03-04 12:00:00+00:00,2026-03-06 12:00:00+00:00,,mitigated,False,False
48,1,72500.1,71877.9,2026-03-04 08:00:00+00:00,2026-03-04 16:00:00+00:00,2026-03-05 04:00:00+00:00,,mitigated,False,False
49,-1,71718.7,71622.0,2026-03-05 08:00:00+00:00,2026-03-05 16:00:00+00:00,2026-03-10 12:00:00+00:00,,mitigated,False,False
50,-1,70156.8,68755.0,2026-03-06 08:00:00+00:00,2026-03-06 16:00:00+00:00,2026-03-10 00:00:00+00:00,,mitigated,False,False
51,1,72213.7,71969.5,2026-03-15 16:00:00+00:00,2026-03-16 00:00:00+00:00,2026-03-18 12:00:00+00:00,,mitigated,False,False
52,-1,72750.0,71964.9,2026-03-18 08:00:00+00:00,2026-03-18 16:00:00+00:00,2026-04-07 20:00:00+00:00,,mitigated,False,False
53,-1,70164.5,69576.8,2026-03-21 16:00:00+00:00,2026-03-22 00:00:00+00:00,2026-03-23 08:00:00+00:00,,mitigated,False,False
54,1,69656.2,68874.0,2026-03-23 04:00:00+00:00,2026-03-23 12:00:00+00:00,2026-03-24 16:00:00+00:00,,mitigated,False,False
55,-1,70814.0,69980.7,2026-03-24 08:00:00+00:00,2026-03-24 16:00:00+00:00,2026-03-25 00:00:00+00:00,,mitigated,False,False
